SId,PId,Round,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
1,1,1,-3,-3,-3,-3,-1,1,2,-3,-3,-3,-3,2,-3,-3,3,0,2,0
1,1,2,-3,-3,-2,-3,-2,1,3,1,-1,-2,-3,2,-2,-3,3,0,0,0
1,1,3,-2,-3,-1,-3,-2,3,3,-2,2,-2,-1,3,-3,-3,2,0,0,0
1,1,4,0,-2,1,-3,2,3,3,1,0,-2,-2,3,-2,-3,3,0,0,0
1,2,1,0,-2,2,-1,-2,0,-2,3,2,2,2,1,3,0,-3,1,0,0
1,2,2,1,0,2,0,-1,-1,-1,2,2,2,2,0,2,0,-2,1,1,0
1,2,3,1,0,3,2,-1,-1,0,-1,3,3,3,1,2,0,-1,2,-1,-1
1,2,4,2,1,3,-1,1,-1,-1,3,2,2,3,1,2,1,-3,0,0,0
2,3,1,-3,-3,-3,-3,0,1,3,-3,1,2,2,-1,2,2,-3,-3,-3,-3
2,3,2,-3,-3,-3,-3,0,0,2,0,0,0,1,1,-2,-2,2,0,0,0
2,3,3,-2,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,0,0,0
2,3,4,0,1,1,1,1,1,3,1,1,1,1,3,1,1,-1,0,0,-3
2,4,1,2,1,1,1,-1,0,0,1,1,0,1,-1,0,0,-2,3,0,2
2,4,2,0,1,1,1,0,-1,0,2,0,-2,0,-1,-2,0,-2,2,0,1
2,4,3,1,1,2,0,-2,-1,-1,1,-1,-1,-1,-1,-2,0,-2,2,1,1
2,4,4,1,1,2,0,-2,-2,-1,2,0,-2,1,-2,-3,0,-3,2,1,1
3,5,1,1,3,2,-3,-3,-3,1,-3,-3,-3,-3,1,2,2,0,-3,0,-3
3,5,2,0,1,-1,-3,-3,-3,0,-3,-3,-3,-3,2,2,0,-2,-3,-3,-3
3,5,3,-2,-2,-2,-2,-2,-2,1,-3,0,-2,-2,1,2,1,-2,-3,1,-3
3,5,4,-1,-1,-2,-2,-2,0,2,-3,0,0,-1,1,1,1,-2,-2,-2,-3
3,6,1,1,-1,1,0,-2,1,1,1,1,2,2,-1,3,2,-1,2,2,2
3,6,2,-1,-1,1,0,2,1,1,2,2,2,0,-1,3,2,-1,3,1,2
3,6,3,2,-1,1,2,0,1,2,2,2,2,-1,-1,2,1,-1,3,-1,3
3,6,4,3,1,2,3,1,0,2,2,2,1,1,-2,3,2,-1,3,1,3
4,7,1,-3,-3,-3,-3,-3,0,3,1,0,2,0,2,-1,-1,-1,-3,1,0
